id,seriesName,seriesImage,created_at,updated_at,planetName,mostViewed,old_cartoon
8dd3f719-3ce1-4386-a2c6-400adf3bd8c8,جونكر,https://i.imgur.com/LNhp8Qa.png,2024-09-12 19:11:11.468533+00,2024-09-12 19:11:11.468533+00,أكشن,true,false
8df2e859-4644-4d9c-b188-8d7b4eab4a02,فرسان المدرعات,https://i.imgur.com/kIy5vlv.jpeg,2024-09-03 21:52:01.68156+00,2024-09-03 21:52:01.68156+00,الصيصان,false,false
8ecf51a4-a11b-4cea-b9fd-6f7d322f6ea4,ريمي الفتى الشريد,https://i.imgur.com/xUe7b7o.png,2024-09-09 10:53:07.653017+00,2024-09-09 10:53:07.653017+00,زمردة,true,false
8f033402-c5fe-4748-bc20-06db15033e10,الأجنحة الصينية,https://i.imgur.com/QgKaBxk.png,2024-09-10 08:59:49.624232+00,2024-09-10 08:59:49.624232+00,مغامرات,false,false
8f151e6d-5035-4527-9889-317e95482306,فرقة الابطال الجوية ميتاجيتس,https://i.imgur.com/9GFuVE8.jpeg,2024-08-27 12:50:24.91212+00,2024-08-27 12:50:24.91212+00,أكشن,false,false
8f55b334-f524-4cb3-9fbe-194ebccd7916,دينيس وغانشر,https://i.imgur.com/AT9hNqf.jpeg,2024-08-30 20:47:18.788901+00,2024-08-30 20:47:18.788901+00,الصيصان,false,false
8f60525e-8f34-4df9-9c52-bfe67311720e,رحلة الأصدقاء,https://i.imgur.com/WraKpil.jpeg,2024-09-03 07:40:23.271096+00,2024-09-03 07:40:23.271096+00,مغامرات,true,false
90656b31-af64-440c-b4c5-acdf7ae005aa,جول وجولي,https://i.imgur.com/k7Sgc9s.jpeg,2024-09-03 20:14:40.62208+00,2024-09-03 20:14:40.62208+00,مغامرات,false,false
90913a24-0245-4130-b195-e471cd1e42aa,لحن الحياة,https://i.imgur.com/JvTyV7W.png,2024-08-20 09:19:40.123317+00,2024-08-20 09:19:40.123317+00,زمردة,true,false
90980441-1c4a-4974-b024-5c4c8c7472d6,الثابتون,https://i.imgur.com/HoSQYgm.png,2024-09-11 11:22:44.124751+00,2024-09-11 11:22:44.124751+00,زمردة,true,false
90a27617-c1e4-431a-8094-1ef1b1bae22f,الشناكل,https://i.imgur.com/A2OeKeu.jpeg,2024-09-05 10:58:11.589288+00,2024-09-05 10:58:11.589288+00,مغامرات,false,false
911d16f8-3af0-4120-a6dc-5dbf5845359e,الرغيف العجيب,https://i.imgur.com/mQHTRtO.jpeg,2024-09-03 17:41:21.67677+00,2024-09-03 17:41:21.67677+00,مغامرات,true,false
9124ea6c-82f3-40f2-8e7f-8a9cf37f2f34,العالم المفقود,https://i.imgur.com/mgj2d5W.png,2024-09-15 14:14:45.216097+00,2024-09-15 14:14:45.216097+00,مغامرات,false,false
91582af6-1b80-4d93-9b8d-0abe9e749e97,سابق ولاحق الجزء 1,https://i.imgur.com/hnwhBV2.jpeg,2024-09-14 09:51:38.150838+00,2024-09-14 09:51:38.150838+00,مغامرات,false,false
917a8102-14ed-4ba6-912e-d0fcb38bb4db,ماريو الهداف,https://i.imgur.com/QxVVCU8.jpeg,2024-09-03 20:22:07.257485+00,2024-09-03 20:22:07.257485+00,رياضة,true,false
92de89d9-a07c-4b92-8f5f-1ceb0d48d9ac,كرة قدم المجرات الجزء 1,https://i.imgur.com/GlsgpMz.jpeg,2024-09-15 13:41:51.646317+00,2024-09-15 13:41:51.646317+00,رياضة,false,false
9332ab43-366e-4cd2-b4f6-e50fe30f88ea,فراولة وصديقاتها,https://i.imgur.com/SMaae4P.jpeg,2024-09-01 14:02:29.163168+00,2024-09-01 14:02:29.163168+00,زمردة,false,false
944f2fd8-3f69-4f19-a191-44af8d0179c3,دانية الموسم 1,https://i.imgur.com/vGlws5Q.jpeg,2024-09-06 14:00:27.530724+00,2024-09-06 14:00:27.530724+00,زمردة,true,false
94d7cf4b-8402-407d-9194-181e33d0ca2c,ماشا والدب الجزء 2,https://i.imgur.com/Z1IhKy9.jpeg,2024-08-25 07:48:37.10509+00,2024-08-25 07:48:37.10509+00,الصيصان,true,false
958d445d-f41e-4f33-b14d-fb6bf6c9d151,بسبوس الحارس الشجاع,https://i.imgur.com/5jZlzEv.png,2024-09-03 18:39:49.326763+00,2024-09-03 18:39:49.326763+00,مغامرات,false,false
95c7b0be-fcdc-4c86-84a9-43d9ac91dda0,زهرة الجبل,https://i.imgur.com/jmWvsXr.jpeg,2024-08-19 11:58:23.077287+00,2024-08-19 11:58:23.077287+00,زمردة,true,false
96b4465a-5f6e-4875-8f78-5c85904baa1b,ملك الديناصورات,https://i.imgur.com/dd3b6bs.jpeg,2024-09-06 11:23:22.929294+00,2024-09-06 11:23:22.929294+00,مغامرات,false,false
