id,seriesName,spisodeName,episodeImage,episodeLink,created_at,updated_at,Unnamed: 4
10143,English Cartoon,COOKIE THIEF! - How do we stop him? - Cartoon Cars for Kids!,https://i.ytimg.com/vi/cQjyCunvaUE/maxresdefault.jpg,https://www.youtube.com/watch?v=cQjyCunvaUE,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+41
10144,English Cartoon,NO ESCAPE! - Who will win the CAR CHASE? - Cartoon Cars for Kids!,https://i.ytimg.com/vi/I3WRLIvqMj0/maxresdefault.jpg,https://www.youtube.com/watch?v=I3WRLIvqMj0,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+42
10145,English Cartoon,RACE ME! - Artificial Intelligence Car - Cartoon Cars - Cartoons for Kids!,https://i.ytimg.com/vi/qfGoLddKyt4/maxresdefault.jpg,https://www.youtube.com/watch?v=qfGoLddKyt4,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+43
10146,English Cartoon,HELP CAR! - Will He Live? - Cartoon Cars - Cartoons for Kids!,https://i.ytimg.com/vi/XnaNV9APNZs/maxresdefault.jpg,https://www.youtube.com/watch?v=XnaNV9APNZs,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+44
10147,English Cartoon,SCRAP CARS! - Why did they Die? - Cartoon Cars - Cartoons for Kids!,https://i.ytimg.com/vi/EsAe3Xd86LI/maxresdefault.jpg,https://www.youtube.com/watch?v=EsAe3Xd86LI,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+45
10148,English Cartoon,MEND ME! - How does Orange Car Work? - Cartoon Cars for Kids!,https://i.ytimg.com/vi/F-oKjLDmSao/maxresdefault.jpg,https://www.youtube.com/watch?v=F-oKjLDmSao,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+46
10149,English Cartoon,HOSEPLAY! - Who Wins? - Cartoon Cars - Cartoons for Kids!,https://i.ytimg.com/vi/xjUa10ztlpo/maxresdefault.jpg,https://www.youtube.com/watch?v=xjUa10ztlpo,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+47
10150,English Cartoon,Fight the Fire! - HOW? - Cartoon Cars 2023 - Cartoons for Kids,https://i.ytimg.com/vi/0SjruPBJIqc/maxresdefault.jpg,https://www.youtube.com/watch?v=0SjruPBJIqc,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+48
10151,English Cartoon,The PAINTBALL CARS! - Who are they? - Cartoon Cars - Cartoons for Kids!,https://i.ytimg.com/vi/1Avcsy6sVPs/maxresdefault.jpg,https://www.youtube.com/watch?v=1Avcsy6sVPs,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+49
10152,English Cartoon,YİPPEE! No More SCHOOL! - Is it true? - Cartoon Cars - Cartoons for Kids,https://i.ytimg.com/vi/rbkmeG5HrcA/maxresdefault.jpg,https://www.youtube.com/watch?v=rbkmeG5HrcA,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+50
10153,English Cartoon,WHEELS on WHEELS - How Many? - Cartoon Cars - Cartoons for Kids!,https://i.ytimg.com/vi/AvZKGR2NSgQ/maxresdefault.jpg,https://www.youtube.com/watch?v=AvZKGR2NSgQ,,2024-09-06 08:34:58.836+00,2024-09-06 08:34:58.836+51
